Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.47659213409148,72.52857392672578,71.22325176244068,72.46825408935547,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.6961597256872,72.52374615608241,71.53932961570813,71.76371765136719,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,70.88545699351877,72.3741463481867,70.63452442658405,72.33554077148438,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.34521969510813,72.60097528872254,71.77580380389517,71.99536895751953,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.69856646684151,73.45507969178227,71.69856646684151,73.15348052978516,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.13066759639553,74.90034933748393,73.8797423656215,74.70732879638672,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,74.94137847897954,75.44082857328132,74.37437045138542,74.87622833251953,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.19229822984673,76.50244329938738,75.07406634437707,76.47589874267578,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.41316197489823,76.62307380074168,75.32016697292072,75.4432144165039,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.24300422682184,76.12367282007459,74.68805702760709,75.11994934082031,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.66280356227105,76.17190690767254,75.30088447470833,76.0609130859375,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.30943200280402,76.90539240608445,76.00300982033474,76.90298461914062,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.53139743845387,76.97293540809704,76.24427442355741,76.38180541992188,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,76.86679969961068,77.20700458892972,76.56037746579443,76.65447998046875,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.70753000449464,77.1032242879984,76.15982119740589,77.02360534667969,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.26971830945405,78.01285552986269,76.61102297800898,76.8016357421875,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.81107521306389,75.223660842835,73.56124993820636,74.54325866699219,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.42394256005781,76.8233601467646,75.32501712161712,76.65205383300781,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.28309057876027,79.1034389225781,77.54236118317645,78.25654602050781,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,77.33970834921887,78.19624735599628,76.90781612011679,78.1431655883789,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,77.43379716634335,77.85603612229534,74.38402933624978,74.67839050292969,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,73.42130011057627,75.6386578310323,72.91944232393651,74.47328186035156,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.07780703357612,77.12255095912198,75.67245940871321,76.93193817138672,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,78.0587002140709,78.35789164403798,76.95605907395962,77.55925750732422,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,77.8295026141326,78.46889159082244,77.27214775489887,78.46647644042969,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,77.96581213428415,78.21491934817361,76.90892029107607,77.3998794555664,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,75.98507626887303,77.76752471923828,75.905268338878,77.76752471923828,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,78.26331148915241,78.33586413946524,77.08065162389036,77.2983169555664,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,77.74815764169257,79.13880655058661,77.74815764169257,79.13397216796875,113730400,0.0,0.0
